"id","date","dive_number","boat","dive_guide","dive_site","max_depth","water_temperature","sightings"
394,"2024-01-21",2,"Shark Bait","Lenny","Ladder Drift",22,27,"[{""species"" : ""Tiger Grouper"", ""count"" : 3}, {""species"" : ""Green Turtle"", ""count"" : 3}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 3}, {""species"" : ""Nurse Shark"", ""count"" : 2}, {""species"" : ""Southern Stingray"", ""count"" : 2}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Flamingo Tongue"", ""count"" : 5}, {""species"" : ""Lionfish Dead"", ""count"" : 5}]"
397,"2024-01-21",1,"Shark Bait","Otto","Babylon",29,27,"[{""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
400,"2024-01-22",3,"Shark Bait","Richard","Torrens Point",12,27,"[{""species"" : ""Green Turtle"", ""count"" : 3}]"
399,"2024-01-22",1,"Shark Bait","Richard","Third Encounter",33,27,"[{""species"" : ""Lionfish Dead"", ""count"" : 2}, {""species"" : ""Lionfish Alive"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}]"
402,"2024-01-23",3,"Fin & Tonic","Josef","Tent Reef",15,26,"[{""species"" : ""Yellowfin Grouper"", ""count"" : 2}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Nurse Shark"", ""count"" : 1}]"
401,"2024-01-23",1,"Fin & Tonic","Josef","Outer Limits",30,26,"[{""species"" : null, ""count"" : null}]"
409,"2024-01-24",1,"Fin & Tonic","Svenja","Third Encounter",32,27,"[{""species"" : ""Nurse Shark"", ""count"" : 1}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 2}]"
408,"2024-01-24",3,"Fin & Tonic","Svenja","Muck Dive",15,26,"[{""species"" : ""Green Turtle"", ""count"" : 1}, {""species"" : ""Nassau Grouper"", ""count"" : 1}, {""species"" : ""Leech Head Shield Slug"", ""count"" : 2}, {""species"" : ""White-nosed Pipefish"", ""count"" : 1}]"
406,"2024-01-25",2,"Fin & Tonic","Otto","Tent Reef",21,27,"[{""species"" : ""Green Turtle"", ""count"" : 4}, {""species"" : ""Lionfish Alive"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 1}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
404,"2024-01-25",2,"Fin & Tonic","Aaron","Tent Reef",22,27,"[{""species"" : ""Green Turtle"", ""count"" : 5}, {""species"" : ""Lionfish Dead"", ""count"" : 3}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 5}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
403,"2024-01-25",1,"Fin & Tonic","Lenny","Tent Boulders",29,27,"[{""species"" : ""Green Turtle"", ""count"" : 4}, {""species"" : ""Lettuce Sea Slug"", ""count"" : 2}, {""species"" : ""Caribbean Reef Shark"", ""count"" : 2}, {""species"" : ""Hawksbill Turtle"", ""count"" : 1}]"
